name	uri	type	address	email	web	angebote	ortsteile
Freier Träger - Grundschule forum thomanum	http://www.leipzig.de/detailansicht-adresse/freier-traeger-grundschule-forum-thomanum/	Grundschule	"[{""address""=>"",,Jörgen-Schmidtchen-Weg 8,04157,Leipzig,"", ""location""=>{:lat=>39.390897, :lng=>-99.066067}}]"	grundschule@forum-thomanum.de	http://www.forum-thomanum.de/		"[""Nord"", ""Gohlis-Nord""]"
Freier Träger - Karl-Schubert-Schule	http://www.leipzig.de/detailansicht-adresse/freier-traeger-karl-schubert-schule/	Grundschule	"[{""address""=>"",,Raschwitzer Straße 4,04279,Leipzig,"", ""location""=>{:lat=>51.285549, :lng=>12.373979}}]"	Kontakt@karl-schubert-schule-leipzig.de	http://www.karl-schubert-schule-leipzig.de/		"[""Lößnig"", ""Süd""]"
Freier Träger - Leipzig International School e.V.	http://www.leipzig.de/detailansicht-adresse/freier-traeger-leipzig-international-school-ev/	Grundschule	"[{""address""=>"",,Könneritzstraße 47,04229,Leipzig,"", ""location""=>{:lat=>51.324581, :lng=>12.345106}}]"	admin@intschool-leipzig.com	http://www.intschool-leipzig.com/		"[""Schleußig"", ""Südwest""]"
Grundschule - 100. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-100-schule/	Grundschule	"[{""address""=>"",,Miltitzer Allee 1,04207,Leipzig,"", ""location""=>{:lat=>51.304698, :lng=>12.268268}}]"	schule-100.gs@t-online.de	http://www.100schule-leipzig.de/	Ganztagsangebote	"[""West"", ""Lausen-Grünau""]"
Grundschule - 120. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-120-schule/	Grundschule	"[{""address""=>"",,Martin-Herrmann-Straße 1,04249,Leipzig,"", ""location""=>{:lat=>51.308043, :lng=>12.320932}}]"	Leipzig.120.gs@t-online.de	http://www.grundschule-grosszschocher.de/	Ganztagsangebote,Schulbibliothek	"[""Südwest"", ""Großzschocher""]"
Grundschule - 157. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-157-schule/	Grundschule	"[{""address""=>"",,Hans-Driesch-Straße 41,04179,Leipzig,"", ""location""=>{:lat=>51.347276, :lng=>12.313586}}]"	Leutzscher-grundschule@t-online.de		Ganztagsangebote	"[""Alt-West"", ""Leutzsch""]"
Grundschule - 172. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-172-schule/	Grundschule	"[{""address""=>"",,Prießnitzstraße 19,04179,Leipzig,"", ""location""=>{:lat=>51.344134, :lng=>12.320388}}]"	Grundschule-172@t-online.de	http://www.sn.schule.de/~gs172l/	Ganztagsangebote	"[""Alt-West"", ""Leutzsch""]"
Grundschule - 21. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-21-schule/	Grundschule	"[{""address""=>"",,Stöckelstraße 45,04347,Leipzig,"", ""location""=>{:lat=>51.356139, :lng=>12.411647}}]"	leipzig-21.grundschu@gmx.de		Ganztagsangebote	"[""Nordost"", ""Schönefeld-Ost""]"
Grundschule - 24. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-24-schule/	Grundschule	"[{""address""=>"",,Döllingstraße 25,04328,Leipzig,"", ""location""=>{:lat=>51.348051, :lng=>12.449922}}]"	24.gs@web.de	http://www.24gs.de/	Ganztagsangebote	"[""Ost"", ""Paunsdorf""]"
Grundschule - 3. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-3-schule/	Grundschule	"[{""address""=>"",,Bernhard-Göhring-Straße 107,04275,Leipzig,"", ""location""=>{:lat=>39.390897, :lng=>-99.066067}}]"	Dritte-grundschule-leipzig@t-online.de	http://www.drittegrundschule.de/	Ganztagsangebote,Schulbibliothek	"[""Süd"", ""Südvorstadt""]"
Grundschule - 31. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-31-schule/	Grundschule	"[{""address""=>"",,Franzosenallee 21,04289,Leipzig,"", ""location""=>{:lat=>51.302099, :lng=>12.436149}}]"	Leipzig-31.gs@t-online.de	http://www.sn.schule.de/~gs31l//	Ganztagsangebote	"[""Südost"", ""Probstheida""]"
Grundschule - 33. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-33-schule/	Grundschule	"[{""address""=>"",,Anhalter Straße 1,04129,Leipzig,"", ""location""=>{:lat=>51.361674, :lng=>12.388551}}]"	Grundschule33@t-online.de		Ganztagsangebote	"[""Nord"", ""Eutritzsch""]"
Grundschule - 39. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-39-schule/	Grundschule	"[{""address""=>"",,Gustav-Kühn-Straße 1,04159,Leipzig,"", ""location""=>{:lat=>39.390897, :lng=>-99.066067}}]"	Sl39.grundschuleleipzig@t-online.de	http://cms.sn.schule.de/39gsl/start/		"[""Nordwest"", ""Möckern""]"
Grundschule - 46. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-46-schule/	Grundschule	"[{""address""=>"",,Saalfelder Straße 29,04179,Leipzig,"", ""location""=>{:lat=>51.332467, :lng=>12.316683}}]"	Grundschule-46.leipzig@t-online.de		Ganztagsangebote	"[""Alt-West"", ""Neulindenau""]"
Grundschule - 60. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-60-schule/	Grundschule	"[{""address""=>"",,Seumestraße 93 ,04249,Leipzig,"", ""location""=>{:lat=>51.279374, :lng=>12.312478}}]"	Gs-60@t-online.de	http://www.gs-60.net/	Ganztagsangebote	"[""Südwest"", ""Knautkleeberg-Knauthain""]"
Grundschule - 66. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-66-schule/	Grundschule	"[{""address""=>"",,Rosenowstraße 56,04357,Leipzig,"", ""location""=>{:lat=>51.37819, :lng=>12.401803}}]"	Grundschule-66-leipzig@t-online.de	http://www.66gsleipzig.de/		"[""Nordost"", ""Mockau-Nord""]"
Grundschule - 74. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-74-schule/	Grundschule	"[{""address""=>"",,Friedrich-Dittes-Straße 23,04318,Leipzig,"", ""location""=>{:lat=>51.337199, :lng=>12.41143}}]"	Leipzig-74.grundschule@t-online.de	http://www.74-grundschule-leipzig.de/	Ganztagsangebote	"[""Anger-Crottendorf"", ""Ost""]"
Grundschule - 77. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-77-schule/	Grundschule	"[{""address""=>"",,Riebeckstraße 50,04317,Leipzig,"", ""location""=>{:lat=>51.326736, :lng=>12.402257}}]"	Gsl77@t-online.de	http://www.sn.schule.de/~gs77l/		"[""Reudnitz-Thonberg"", ""Südost""]"
Grundschule - 78. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-78-schule/	Grundschule	"[{""address""=>"",,Binzer Straße 14,04207,Leipzig,"", ""location""=>{:lat=>51.312124, :lng=>12.262228}}]"	Grundschule.78@t-online.de		Ganztagsangebote	"[""West"", ""Lausen-Grünau""]"
Grundschule - 8. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-8-schule/	Grundschule	"[{""address""=>"",,Wincklerstraße 3/5,04279,Leipzig,"", ""location""=>{:lat=>51.28661, :lng=>12.395742}}]"	8.grundschule@t-online.de	http://www.grundschule-8-leipzig.de/		"[""Dölitz-Dösen"", ""Süd""]"
Grundschule - 85. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-85-schule/	Grundschule	"[{""address""=>"",,Stuttgarter Allee 3,04209,Leipzig,"", ""location""=>{:lat=>51.31407, :lng=>12.29195}}]"	Leipzig-85.gs@t-online.de	http://www.85-gs.de/	Ganztagsangebote	"[""West"", ""Grünau-Mitte""]"
Grundschule - 9. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-9-schule/	Grundschule	"[{""address""=>"",,Gersterstraße 74,04279,Leipzig,"", ""location""=>{:lat=>51.292998, :lng=>12.390518}}]"	Neunte.grundschule-leipzig@t-online.de	http://cms.sn.schule.de/gs9l		"[""Süd"", ""Lößnig""]"
Grundschule - 90. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-90-schule/	Grundschule	"[{""address""=>"",,Garskestraße 21,04205,Leipzig,"", ""location""=>{:lat=>51.327128, :lng=>12.287128}}]"	Gs-90@t-online.de			"[""Schönau"", ""West""]"
Grundschule - 91. Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-91-schule/	Grundschule	"[{""address""=>"",,Uranusstraße 1,04205,Leipzig,"", ""location""=>{:lat=>51.320927, :lng=>12.274924}}]"	post@91-gs.l.sn.schule.de	http://www.91schule-leipzig.de/		"[""West"", ""Grünau-Nord""]"
Grundschule - Adam-Friedrich-Oeser-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-adam-friedrich-oeser-schule/	Grundschule	"[{""address""=>"",,Geibelstraße 74,04129,Leipzig,"", ""location""=>{:lat=>51.363742, :lng=>12.380619}}]"	http://www.oeserschule-leipzig.de/	http://www.oeserschule-leipzig.de/	Ganztagsangebote	"[""Nord"", ""Eutritzsch""]"
Grundschule - Alfred-Kästner-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-alfred-kaestner-schule/	Grundschule	"[{""address""=>"",,Gartenwinkel 30,04158,Leipzig,"", ""location""=>{:lat=>51.392373, :lng=>12.334471}}]"	Alfred-kaestner-gs-leipzig@t-online.de		Ganztagsangebote	"[""Nordwest"", ""Lindenthal""]"
Grundschule - Anna-Magdalena-Bach-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-anna-magdalena-bach-schule/	Grundschule	"[{""address""=>"",,Manetstraße 8,04109,Leipzig,"", ""location""=>{:lat=>51.336296, :lng=>12.368352}}]"	leipzig-e.-manet-schule@t-online.de	www.edouard-manet-grundschule-leipzig.de		"[""Mitte"", ""Zentrum-West""]"
Grundschule - Astrid-Lindgren-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-astrid-lindgren-schule/	Grundschule	"[{""address""=>"",,Volksgartenstraße 16,04347,Leipzig,"", ""location""=>{:lat=>51.355839, :lng=>12.41948}}]"	sekretariat@grusalei.de	www.astrid-lindgren-schule-leipzig.de		"[""Nordost"", ""Schönefeld-Ost""]"
Grundschule - August-Bebel-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-august-bebel-schule/	Grundschule	"[{""address""=>"",,Husemannstraße 2,04315,Leipzig,"", ""location""=>{:lat=>51.341356, :lng=>12.399042}}]"	a.bebel.gs.leipzig@t-online.de	http://www.sn.schule.de/~gs-bebel-l//	Ganztagsangebote	"[""Ost"", ""Neustadt-Neuschönefeld""]"
Grundschule - Brüder-Grimm-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-brueder-grimm-schule/	Grundschule	"[{""address""=>"",,Goldsternstraße 23,04329,Leipzig,"", ""location""=>{:lat=>51.35658, :lng=>12.458153}}]"	bruedergrimmgrundschule@t-online.de	http://www.grimmschule-leipzig.de/	Ganztagsangebote	"[""Ost"", ""Paunsdorf""]"
Grundschule - Carl-von-Linné-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-carl-von-linne-schule/	Grundschule	"[{""address""=>"",,Delitzscher Straße 110,04129,Leipzig,"", ""location""=>{:lat=>51.369784, :lng=>12.386212}}]"	linneschule@t-online.de	http://www.linne-schule.de/	Ganztagsangebote	"[""Nord"", ""Eutritzsch""]"
Grundschule - Christoph-Arnold-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-christoph-arnold-schule/	Grundschule	"[{""address""=>"",,Gaswerksweg 1,04319,Leipzig,"", ""location""=>{:lat=>51.340484, :lng=>12.486289}}]"	Christoph-arnold-gs@t-online.de	http://www.arnoldschule.de/		"[""Ost"", ""Engelsdorf""]"
Grundschule - Erich Kästner-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-erich-kaestner-schule/	Grundschule	"[{""address""=>"",,Erfurter Straße 9,04155,Leipzig,"", ""location""=>{:lat=>51.360133, :lng=>12.372677}}]"	kaestnerschule@t-online.de	http://www.kaestnerschule.de/	Ganztagsangebote	"[""Nord"", ""Gohlis-Süd""]"
Grundschule - Erich-Zeigner-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-erich-zeigner-schule/	Grundschule	"[{""address""=>"",,Erich-Zeigner-Allee 24/26 ,04229,Leipzig,"", ""location""=>{:lat=>51.327456, :lng=>12.338425}}]"	Erich-zeigner-gs-leipzig@t-online.de	http://www.erich-zeigner-grundschule.de/	Ganztagsangebote,Schulbibliothek	"[""Südwest"", ""Plagwitz""]"
Grundschule - Ernst-Pinkert-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-ernst-pinkert-schule/	Grundschule	"[{""address""=>"",,Martinstraße 7,04318,Leipzig,"", ""location""=>{:lat=>51.332296, :lng=>12.412046}}]"	Grundschule-25.leipzig@t-online.de	http://ernstpinkert.thomaskeller.biz/		"[""Ost"", ""Anger-Crottendorf""]"
Grundschule - Franz-Mehring-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-franz-mehring-schule/	Grundschule	"[{""address""=>"",,Gletschersteinstraße 9,04299,Leipzig,"", ""location""=>{:lat=>51.316581, :lng=>12.425004}}]"	Franz-mehring-grundschule@t-online.de	http://www.franz-mehring-grundschule.homepage.t-online.de/	Ganztagsangebote,Schulbibliothek	"[""Südost"", ""Stötteritz""]"
Grundschule - Friedrich-Fröbel-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-friedrich-froebel-schule/	Grundschule	"[{""address""=>"",,Mannheimer Straße 128 c,04209,Leipzig,"", ""location""=>{:lat=>51.31353, :lng=>12.28703}}]"	Froebelschule-leipzig@t-online.de	http://www.froebelschule-leipzig.de/	Ganztagsangebote,Schulbibliothek	"[""West"", ""Grünau-Mitte""]"
Grundschule - Geschwister-Scholl-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-geschwister-scholl-schule/	Grundschule	"[{""address""=>"",,Elsbethstraße 1,04155,Leipzig,"", ""location""=>{:lat=>51.363437, :lng=>12.365707}}]"	Geschwister-scholl-gs-leipzig@t-online.de	http://cms.sn.schule.de/gsgeschwisterscholl	Ganztagsangebote	"[""Nord"", ""Gohlis-Süd""]"
Grundschule - Hans-Christian-Andersen-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-hans-christian-andersen-schule/	Grundschule	"[{""address""=>"",,Louis-Fürnberg-Straße 2,04318,Leipzig,"", ""location""=>{:lat=>51.348984, :lng=>12.425708}}]"	Gs-andersen@t-online.de	http://cms.sn.schule.de/gsandersen		"[""Ost"", ""Sellerhausen-Stünz""]"
Grundschule - Hans-Kroch-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-hans-kroch-schule/	Grundschule	"[{""address""=>"",,Jörgen-Schmidtchen-Weg 8,04157,Leipzig,"", ""location""=>{:lat=>39.390897, :lng=>-99.066067}}]"	Leipzig-75.gs@t-online.de	http://www.75-gs-leipzig.de/	Ganztagsangebote	"[""Nord"", ""Gohlis-Nord""]"
Grundschule - Heinrich-Mann-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-heinrich-mann-schule/	Grundschule	"[{""address""=>"",,Schwarzenbergweg 4,04289,Leipzig,"", ""location""=>{:lat=>51.289222, :lng=>12.434723}}]"	Heinrich-mann-schule-leipzig@t-online.de	http://www.heinrich-mann-grundschule.de/	Ganztagsangebote	"[""Südost"", ""Meusdorf""]"
Grundschule - Joachim-Ringelnatz-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-joachim-ringelnatz-schule/	Grundschule	"[{""address""=>"",,Grünauer Allee 35,04209,Leipzig,"", ""location""=>{:lat=>51.31952, :lng=>12.304294}}]"	Ringelnatzschule-Leipzig@t-online.de		Ganztagsangebote	"[""West"", ""Grünau-Ost""]"
Grundschule - Karl-Liebknecht-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-karl-liebknecht-schule/	Grundschule	"[{""address""=>"",,Heinrich-Mann-Straße 1,04157,Leipzig,"", ""location""=>{:lat=>51.372726, :lng=>12.373185}}]"	karli-gs@t-online.de	http://www.karl-liebknecht-schule.de/	Ganztagsangebote	"[""Nord"", ""Gohlis-Nord""]"
Grundschule - Lessingschule	http://www.leipzig.de/detailansicht-adresse/grundschule-lessingschule/	Grundschule	"[{""address""=>"",,Lessingstraße 27,04109,Leipzig,"", ""location""=>{:lat=>51.342061, :lng=>12.362702}}]"	info@lessing-grundschule.de	http://www.lessing-grundschule.de/	Ganztagsangebote,Schulbibliothek	"[""Mitte"", ""Zentrum-West""]"
Grundschule - Marienbrunner Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-marienbrunner-schule/	Grundschule	"[{""address""=>"",,An der Märchenwiese 49,04277,Leipzig,"", ""location""=>{:lat=>51.305681, :lng=>12.401217}}]"	Marienbrunner-grundschule@t-online.de	http://www.sn.schule.de/~gsmariel/		"[""Süd"", ""Marienbrunn""]"
Grundschule - Pablo-Neruda-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-pablo-neruda-schule/	Grundschule	"[{""address""=>"",,Tarostraße 6,04103,Leipzig,"", ""location""=>{:lat=>51.32611, :lng=>12.384882}}]"	pablo-neruda-schule-leipzig@t-online.de	http://www.pablo-neruda-schule.de/	Ganztagsangebote,Schulbibliothek	"[""Mitte"", ""Zentrum-Südost""]"
Grundschule - Paul-Robeson-Schule	http://www.leipzig.de/detailansicht-adresse/grundschule-paul-robeson-schule/	Grundschule	"[{""address""=>"",,Jungmannstraße 5,04159,Leipzig,"", ""location""=>{:lat=>51.382104, :lng=>12.32164}}]"	Paul-robeson-gs-leipzig@web.de	http://www.paul-robeson-grundschule.de	Ganztagsangebote	"[""Nordwest"", ""Wahren""]"
Grundschule - Schule 5 im Stadtbezirk Mitte	http://www.leipzig.de/detailansicht-adresse/grundschule-schule-5-im-stadtbezirk-mitte/	Grundschule	"[{""address""=>"",,Eitingonsstraße 5,04105,Leipzig,"", ""location""=>{:lat=>39.390897, :lng=>-99.066067}}]"	Schule5@t-online.de	schule5.zoopal.de	Ganztagsangebote	"[""Zentrum-Nordwest"", ""Mitte""]"
Grundschule - Schule am Adler	http://www.leipzig.de/detailansicht-adresse/grundschule-schule-am-adler/	Grundschule	"[{""address""=>"",,Antonienstraße 24,04229,Leipzig,"", ""location""=>{:lat=>51.320547, :lng=>12.329258}}]"	Gs-am-adler@t-online.de			"[""Südwest"", ""Kleinzschocher""]"
Grundschule - Schule am Auwald	http://www.leipzig.de/detailansicht-adresse/grundschule-schule-am-auwald/	Grundschule	"[{""address""=>"",,Rödelstraße 6,04229,Leipzig,"", ""location""=>{:lat=>51.318794, :lng=>12.343}}]"	Gs-49@t-online.de	http://www.schule-am-auwald.de/	Ganztagsangebote,Schulbibliothek	"[""Südwest"", ""Schleußig""]"
Grundschule - Schule am Floßplatz	http://www.leipzig.de/detailansicht-adresse/grundschule-schule-am-flossplatz/	Grundschule	"[{""address""=>"",,Hohe Straße 45,04107,Leipzig,"", ""location""=>{:lat=>51.329523, :lng=>12.372802}}]"	schuleamflossplatz-gs-@t-online.de	http://www.sn.schule.de/~gs-flossplatz/	Ganztagsangebote	"[""Mitte"", ""Zentrum-Süd""]"
Grundschule - Schule am Rabet	http://www.leipzig.de/detailansicht-adresse/grundschule-schule-am-rabet/	Grundschule	"[{""address""=>"",,Eisenbahnstraße 50,04315,Leipzig,"", ""location""=>{:lat=>51.345261, :lng=>12.400796}}]"	SchuleamRabet@t-online.de			"[""Ost"", ""Neustadt-Neuschönefeld""]"
Grundschule - Schule Böhlitz-Ehrenberg	http://www.leipzig.de/detailansicht-adresse/grundschule-schule-boehlitz-ehrenberg/	Grundschule	"[{""address""=>"",,Heinrich-Heine-Straße 64,04178,Leipzig,"", ""location""=>{:lat=>51.357245, :lng=>12.288814}}]"	Grundschule-boehlitz-ehrenberg@t-online.de	http://www.grundschule-be.de/		"[""Alt-West"", ""Böhlitz-Ehrenberg""]"
Grundschule - Schule Connewitz	http://www.leipzig.de/detailansicht-adresse/grundschule-schule-connewitz/	Grundschule	"[{""address""=>"",,Zwenkauer Straße 35,04277,Leipzig,"", ""location""=>{:lat=>51.309754, :lng=>12.37933}}]"	54.gs.leipzig@gmx.de	http://www.54grundschule.de/	Ganztagsangebote	"[""Süd"", ""Connewitz""]"
Grundschule - Schule Gundorf	http://www.leipzig.de/detailansicht-adresse/grundschule-schule-gundorf/	Grundschule	"[{""address""=>"",,Leipziger Straße 210,04178,Leipzig,"", ""location""=>{:lat=>51.361786, :lng=>12.272303}}]"	Grundschule.gundorf@t-online.de	http://www.grundschule-gundorf.de/	Ganztagsangebote	"[""Alt-West"", ""Böhlitz-Ehrenberg""]"
Grundschule - Schule Holzhausen	http://www.leipzig.de/detailansicht-adresse/grundschule-schule-holzhausen/	Grundschule	"[{""address""=>"",,Stötteritzer Landstraße 21,04288,Leipzig,"", ""location""=>{:lat=>51.304922, :lng=>12.46582}}]"	gsholzhausen@t-online.de	http://www.sn.schule.de/~gsholzhausen/	Ganztagsangebote	"[""Südost"", ""Stötteritz""]"
Grundschule - Schule Liebertwolkwitz	http://www.leipzig.de/detailansicht-adresse/grundschule-schule-liebertwolkwitz/	Grundschule	"[{""address""=>"",,Am Angerteich 2,04288,Leipzig,"", ""location""=>{:lat=>51.283793, :lng=>12.458814}}]"	sportgrundschule@gmx.de	http://www.sportgrundschule.de/	Ganztagsangebote,Schulbibliothek	"[""Liebertwolkwitz"", ""Südost""]"
Grundschule - Schule Miltitz	http://www.leipzig.de/detailansicht-adresse/grundschule-schule-miltitz/	Grundschule	"[{""address""=>"",,Großmiltitzer Straße 4,04205,Leipzig,"", ""location""=>{:lat=>51.319427, :lng=>12.261507}}]"	schule-miltitz@t-online.de		Ganztagsangebote	"[""West"", ""Miltitz""]"
Grundschule - Schule Mölkau	http://www.leipzig.de/detailansicht-adresse/grundschule-schule-moelkau/	Grundschule	"[{""address""=>"",,Schulstraße 6,04316,Leipzig,"", ""location""=>{:lat=>51.331511, :lng=>12.4448}}]"	gsmoelkau@t-online.de	http://www.sn.schule.de/~gsmoelkau/	Ganztagsangebote	"[""Ost"", ""Mölkau""]"
Grundschule - Schule Portitz	http://www.leipzig.de/detailansicht-adresse/grundschule-schule-portitz/	Grundschule	"[{""address""=>"",,Göbschelwitzer Weg 1,04349,Leipzig,"", ""location""=>{:lat=>51.387285, :lng=>12.452856}}]"	Gsportitz@t-online.de	www.grundschule-portitz.de		"[""Nordost"", ""Plaußig-Portitz""]"
Grundschule - Schule Rückmarsdorf	http://www.leipzig.de/detailansicht-adresse/grundschule-schule-rueckmarsdorf/	Grundschule	"[{""address""=>"",,An der Friedenseiche 4,04178,Leipzig,"", ""location""=>{:lat=>51.343666, :lng=>12.251919}}]"	Gs-rueckmarsdorf@t-online.de	http://www.grundschule-rueckmarsdorf.de/	Ganztagsangebote	"[""Alt-West"", ""Burghausen-Rückmarsdorf""]"
Grundschule - Schule Seehausen	http://www.leipzig.de/detailansicht-adresse/grundschule-schule-seehausen/	Grundschule	"[{""address""=>"",,Seehausener Allee 17,04356,Leipzig,"", ""location""=>{:lat=>51.39895, :lng=>12.399672}}]"	Schule-seehausen@t-online.de	http://people.freenet.de/schule-seehausen	Ganztagsangebote	"[""Nord"", ""Seehausen""]"
Grundschule - Schule Stahmeln	http://www.leipzig.de/detailansicht-adresse/grundschule-schule-stahmeln/	Grundschule	"[{""address""=>"",,Stahmelner Höhe 1,04159,Leipzig,"", ""location""=>{:lat=>51.380602, :lng=>12.305018}}]"	Grundschule-stahmeln@t-online.de	http://www.grundschulestahmeln.de/	Ganztagsangebote	"[""Nordwest"", ""Wahren""]"
Grundschule - Schule Wiederitzsch	http://www.leipzig.de/detailansicht-adresse/grundschule-schule-wiederitzsch/	Grundschule	"[{""address""=>"",,Zur Schule 11,04158,Leipzig,"", ""location""=>{:lat=>51.393569, :lng=>12.372415}}]"	grundschule-wiederitzsch@t-online.de	http://www.grundschule-wiederitzsch.de/	Ganztagsangebote	"[""Wiederitzsch"", ""Nord""]"
